wind_speed;hourly_highest;hourly_lowest;24_avg_temp;sunshine_duration;24_precipitation;24_avg_humidity;evaporation;Year-Month;flu: (Netherlands);Influenza: (Netherlands);Griep: (Netherlands);Total Search;ISO_YEAR;ISO_WEEK;INF_A;INF_B;ILI_ACTIVITY;SPEC_PROCESSED_NB
26.4;47.333333333333336;14.0;145.3;52.46666666666667;32.86666666666667;79.33333333333333;17.266666666666666;2019-09;12;6;3;21;20190;380;7.0;0.0;0.0;24.0
28.225806451612904;51.935483870967744;18.70967741935484;115.58064516129032;32.193548387096776;33.87096774193548;85.51612903225806;8.32258064516129;2019-10;14;8;4;26;16152;340;7.0;3.0;0.0;37.0
27.333333333333332;45.0;16.0;63.666666666666664;25.533333333333335;33.666666666666664;88.16666666666667;4.1;2019-11;14;10;4;28;16152;372;49.0;2.0;0.0;39.0
33.645161290322584;56.45161290322581;22.903225806451612;58.41935483870968;26.129032258064516;23.29032258064516;85.80645161290323;2.6774193548387095;2019-12;14;12;6;32;20192;406;548.0;6.0;0.0;85.0
37.29032258064516;56.774193548387096;23.225806451612904;62.096774193548384;12.935483870967742;16.451612903225808;87.90322580645162;2.4516129032258065;2020-01;28;21;10;59;16160;28;842.0;23.0;0.0;133.0
51.51724137931034;78.27586206896552;31.724137931034484;72.03448275862068;23.310344827586206;54.10344827586207;78.37931034482759;5.241379310344827;2020-02;43;39;17;99;16160;60;1099.0;37.0;0.0;177.0
43.29032258064516;66.12903225806451;22.258064516129032;68.19354838709677;59.83870967741935;21.580645161290324;70.35483870967742;14.35483870967742;2020-03;100;100;41;241;20200;120;901.0;95.0;0.0;227.0
28.966666666666665;52.666666666666664;14.666666666666666;111.16666666666667;93.83333333333333;4.066666666666666;61.833333333333336;28.333333333333332;2020-04;36;31;11;78;16160;132;23.0;2.0;0.0;57.0
28.322580645161292;52.25806451612903;12.258064516129032;131.09677419354838;104.6774193548387;3.7096774193548385;64.80645161290323;35.87096774193548;2020-05;19;15;4;38;16160;164;0.0;0.0;0.0;41.0
26.233333333333334;49.0;15.0;174.83333333333334;76.16666666666667;25.8;70.93333333333334;34.63333333333333;2020-06;15;11;3;29;20200;250;1.0;0.0;0.0;18.0
37.6;59.0;21.0;162.5;40.3;36.7;80.7;22.9;2020-07;16;9;3;28;16160;236;0.0;0.0;0.0;14.0
